"","PEMEX","CHEVRON","MOBIL","REPSOL","TOTAL","BP","G500"
"2018-10-22",16.04,94.1336441040039,1551.75476074219,11.8663482666016,43.2772521972656,32.6780395507812,5267
"2018-10-23",15.73,91.0737457275391,1548.10192871094,11.840838432312,42.6403961181641,32.0417518615723,5216
"2018-10-24",15.11,88.5118103027344,1514.92810058594,11.6731929779053,41.2219543457031,31.0494518280029,5246.5
"2018-10-25",15.57,89.6120758056641,1522.43212890625,11.6112375259399,42.0976181030273,31.5039443969727,5270
"2018-10-26",16.24,89.5719299316406,1522.43212890625,11.2978143692017,41.8588066101074,31.1327743530273,5273
"2018-10-29",15.56,87.4838180541992,1522.43212890625,11.1301698684692,41.4607734680176,31.0797519683838,5293
"2018-10-30",16.41,89.0258102416992,1522.43212890625,10.9698133468628,41.8877563476562,31.9735832214355,5286
"2018-10-31",16.25,89.6683120727539,1544.44885253906,11.0099020004272,42.4088096618652,32.8522682189941,5296
"2018-11-01",16.15,89.2827835083008,1599.44201660156,11.0827913284302,41.8443336486816,32.3068771362305,5319
"2018-11-02",16.13,92.1418991088867,1584.63220214844,11.0536365509033,41.4680061340332,31.5115184783936,5281
"2018-11-05",16.42,95.523063659668,1606.59997558594,11.534704208374,42.3147392272949,32.2765769958496,5230.5
"2018-11-06",15.87,95.4909133911133,1606.59997558594,11.3415479660034,42.3871078491211,32.3144569396973,5276.5
"2018-11-07",15.55,97.0730743408203,1624.7568359375,11.3707046508789,42.929874420166,32.6553192138672,5270.5
"2018-11-08",14.94,95.8603439331055,1632.10217285156,11.4472379684448,41.8515739440918,31.7139739990234,5347
"2018-11-09",14.94,95.9808120727539,1632.83288574219,11.3962154388428,41.5403709411621,31.6909217834473,5350
"2018-11-12",14.72,94.278190612793,1579.09655761719,11.4946155548096,40.751537322998,31.406587600708,5238.5
"2018-11-13",13.9,92.6398315429688,1605.42211914062,11.534704208374,39.694938659668,30.5920352935791,5200.5
"2018-11-14",14.24,92.9370040893555,1564.13195800781,11.5529270172119,40.4982528686523,30.9916362762451,5189.5
"2018-11-15",14.56,94.8427658081055,1559.53833007812,11.5164823532104,41.3449745178223,31.6294498443604,5265.5
"2018-11-16",14.86,96.5539016723633,1559.53833007812,11.4180822372437,41.3305053710938,31.3835372924805,5247.5
"2018-11-19",14.85,96.8458557128906,1559.53833007812,11.301459312439,40.9903602600098,31.4450149536133,5262
"2018-11-20",13.98,94.153434753418,1557.76037597656,11.4399480819702,40.0061264038086,30.814884185791,5172.5
"2018-11-21",14.37,95.345573425293,1557.76037597656,11.4107913970947,40.9541854858398,31.7139739990234,5257.5
"2018-11-23",13.87,92.1260299682617,1516.27282714844,11.3779916763306,39.0653266906738,30.6535091400146,5274
"2018-11-26",13.72,93.2451705932617,1566.65051269531,11.1411018371582,39.6225738525391,31.1453132629395,5315.5
"2018-11-27",14.34,93.4316787719727,1555.78479003906,11.2978143692017,39.2679557800293,30.983943939209,5301.5
"2018-11-28",14.39,95.8078384399414,1580.47973632812,11.1228809356689,40.1074447631836,31.3835372924805,5307.5
"2018-11-29",14.33,96.3836135864258,1576.52856445312,10.8313236236572,40.0423202514648,31.1068935394287,5317
"2018-11-30",14.56,96.4566040039062,1621.96740722656,11.0427017211914,40.2449531555176,31.0069980621338,5325.5
"2018-12-03",15.04,97.8595733642578,1606.16271972656,10.9078569412231,41.2219543457031,31.6524963378906,5322
"2018-12-04",14.67,95.0779647827148,1620.48559570312,10.816746711731,40.1725845336914,31.4680690765381,5331.5
